,name,pre,recall,num,,,,,,,,,,,,
0,ambulance,0.9971,0.9763,716,,,,,,,,,,,,
1,bus,0.9991,0.9761,1129,,,,,,,,,,,,
2,cash-truck,1,0.9337,166,,,,,,,,,,,,
3,cementmix-truck,0.9777,0.8993,586,,,,,,,,,,,,
4,emergency-car,0.9898,0.913,954,,,,,,,,,,,,
5,engineering-truck,0.3636,0.1667,48,,,,,,,,,,,,
6,fire-truck,1,0.4,5,,,,,,,,,,,,
7,garbage-truck,0.9915,0.9009,646,,,,,,,,,,,,
8,muck-truck,0.9686,0.7742,2547,,,,,,,,,,,,
9,no-sp-car,0.9896,0.9248,3393,,,,,,,,,,,,
10,no-sp-truck,0.5873,0.3481,3769,,,,,,,,,,,,
11,police-car,0.9584,0.792,524,,,,,,,,,,,,
12,sweeper-truck,0.981,0.8047,128,,,,,,,,,,,,
13,tank-truck,0.8338,0.5543,1077,,,,,,,,,,,,
14,taxi,0.9852,0.9033,1034,,,,,,,,,,,,
15,watering-truck,0.8095,0.6126,111,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
name,taxi,police-car,engineering-truck,emergency-car,ambulance,fire-truck,garbage-truck,sweeper-truck,watering-truck,cementmix-truck,cash-truck,muck-truck,tank-truck,bus,no-sp-car,no-sp-truck
pre,0.9852,0.9584,0.3636,0.9898,0.9971,1,0.9915,0.981,0.8095,0.9777,1,0.9686,0.8338,0.9991,0.9896,0.5873
recall,0.9033,0.792,0.1667,0.913,0.9763,0.4,0.9009,0.8047,0.6126,0.8993,0.9337,0.7742,0.5543,0.9761,0.9248,0.3481
num,1034,524,48,954,716,5,646,128,111,586,166,2547,1077,1129,3393,3769
