人工标注,机器识别,score,0
bus,bus,no,33
bus,bus,yes,1637
bus,car,no,3
bus,car,yes,1
bus,heavy-truck,no,1
bus,light-bus,no,5
bus,light-bus,yes,5
bus,mid-truck,no,1
car,car,no,40
car,car,yes,2807
car,heavy-truck,no,1
car,heavy-truck,yes,1
car,light-bus,no,10
car,light-bus,yes,12
car,pick-up,no,1
car,pick-up,yes,4
heavy-truck,bus,no,22
heavy-truck,bus,yes,8
heavy-truck,heavy-truck,no,518
heavy-truck,heavy-truck,yes,4813
heavy-truck,light-bus,no,1
heavy-truck,light-truck,no,1
heavy-truck,mid-truck,no,42
heavy-truck,mid-truck,yes,2
heavy-truck,van-truck,no,77
heavy-truck,van-truck,yes,24
light-bus,bus,no,1
light-bus,car,no,30
light-bus,car,yes,68
light-bus,light-bus,no,71
light-bus,light-bus,yes,1557
light-bus,light-truck,no,1
light-bus,pick-up,no,1
light-truck,light-truck,no,3
light-truck,light-truck,yes,1106
light-truck,mid-truck,no,2
light-truck,pick-up,yes,7
mid-truck,bus,no,55
mid-truck,bus,yes,15
mid-truck,car,no,16
mid-truck,car,yes,1
mid-truck,heavy-truck,no,227
mid-truck,heavy-truck,yes,89
mid-truck,light-bus,no,2
mid-truck,light-truck,no,45
mid-truck,light-truck,yes,41
mid-truck,mid-truck,no,413
mid-truck,mid-truck,yes,857
mid-truck,pick-up,no,17
mid-truck,pick-up,yes,3
mid-truck,van-truck,no,25
mid-truck,van-truck,yes,2
pick-up,car,no,15
pick-up,car,yes,9
pick-up,light-bus,no,2
pick-up,light-bus,yes,2
pick-up,light-truck,no,1
pick-up,light-truck,yes,1
pick-up,pick-up,no,44
pick-up,pick-up,yes,1633
van-truck,bus,no,2
van-truck,heavy-truck,no,158
van-truck,heavy-truck,yes,198
van-truck,light-bus,no,4
van-truck,light-bus,yes,1
van-truck,light-truck,no,7
van-truck,light-truck,yes,14
van-truck,mid-truck,no,22
van-truck,mid-truck,yes,3
van-truck,van-truck,no,382
van-truck,van-truck,yes,1195
