人工标注,机器识别,score,0
ambulance,ambulance,no,53
ambulance,ambulance,yes,659
ambulance,no-sp-car,no,4
bus,bus,no,193
bus,bus,yes,925
bus,no-sp-car,no,5
bus,no-sp-truck,no,1
bus,transport_truck,no,5
cash-truck,cash-truck,no,32
cash-truck,cash-truck,yes,131
cash-truck,transport_truck,no,3
cementmix-truck,cementmix-truck,no,219
cementmix-truck,cementmix-truck,yes,336
cementmix-truck,engineering-truck,no,1
cementmix-truck,muck-truck,no,1
cementmix-truck,no-sp-truck,no,5
cementmix-truck,tank-truck,no,10
cementmix-truck,tank-truck,yes,3
cementmix-truck,transport_truck,no,11
emergency-car,emergency-car,no,189
emergency-car,emergency-car,yes,719
emergency-car,engineering-truck,no,3
emergency-car,muck-truck,no,2
emergency-car,no-sp-car,no,11
emergency-car,no-sp-car,yes,2
emergency-car,no-sp-truck,no,5
emergency-car,police-car,no,4
emergency-car,police-car,yes,1
emergency-car,taxi,no,1
emergency-car,transport_truck,no,17
engineering-truck,emergency-car,no,14
engineering-truck,emergency-car,yes,6
engineering-truck,engineering-truck,no,16
engineering-truck,engineering-truck,yes,3
engineering-truck,no-sp-truck,no,4
engineering-truck,transport_truck,no,5
fire-truck,fire-truck,no,3
fire-truck,fire-truck,yes,1
fire-truck,transport_truck,no,1
garbage-truck,bus,no,1
garbage-truck,emergency-car,no,1
garbage-truck,garbage-truck,no,235
garbage-truck,garbage-truck,yes,378
garbage-truck,muck-truck,no,19
garbage-truck,no-sp-car,no,2
garbage-truck,no-sp-truck,no,1
garbage-truck,tank-truck,no,3
garbage-truck,tank-truck,yes,1
garbage-truck,transport_truck,no,3
garbage-truck,watering-truck,no,2
muck-truck,bus,no,13
muck-truck,emergency-car,no,10
muck-truck,fire-truck,no,1
muck-truck,garbage-truck,no,4
muck-truck,muck-truck,no,398
muck-truck,muck-truck,yes,1847
muck-truck,no-sp-car,no,7
muck-truck,no-sp-truck,no,171
muck-truck,no-sp-truck,yes,1
muck-truck,sweeper-truck,no,2
muck-truck,tank-truck,no,1
muck-truck,taxi,no,9
muck-truck,transport_truck,no,78
muck-truck,transport_truck,yes,2
muck-truck,watering-truck,no,3
no-sp-car,bus,no,1
no-sp-car,cash-truck,no,3
no-sp-car,cash-truck,yes,2
no-sp-car,emergency-car,no,12
no-sp-car,emergency-car,yes,6
no-sp-car,engineering-truck,no,2
no-sp-car,no-sp-car,no,215
no-sp-car,no-sp-car,yes,3121
no-sp-car,no-sp-truck,no,2
no-sp-car,no-sp-truck,yes,3
no-sp-car,police-car,no,21
no-sp-car,police-car,yes,4
no-sp-car,taxi,yes,1
no-sp-truck,bus,yes,11
no-sp-truck,cash-truck,no,4
no-sp-truck,cementmix-truck,no,1
no-sp-truck,emergency-car,no,82
no-sp-truck,emergency-car,yes,2
no-sp-truck,garbage-truck,no,18
no-sp-truck,muck-truck,no,15
no-sp-truck,no-sp-car,no,28
no-sp-truck,no-sp-truck,no,1787
no-sp-truck,no-sp-truck,yes,628
no-sp-truck,sweeper-truck,no,11
no-sp-truck,tank-truck,no,617
no-sp-truck,tank-truck,yes,366
no-sp-truck,transport_truck,no,189
no-sp-truck,transport_truck,yes,6
no-sp-truck,watering-truck,no,4
police-car,ambulance,no,2
police-car,cash-truck,no,2
police-car,emergency-car,no,2
police-car,emergency-car,yes,11
police-car,no-sp-car,no,52
police-car,no-sp-car,yes,8
police-car,police-car,no,172
police-car,police-car,yes,270
police-car,taxi,no,3
police-car,transport_truck,no,2
sweeper-truck,muck-truck,no,2
sweeper-truck,no-sp-truck,no,1
sweeper-truck,sweeper-truck,no,44
sweeper-truck,sweeper-truck,yes,78
sweeper-truck,watering-truck,no,3
tank-truck,bus,no,6
tank-truck,cementmix-truck,no,9
tank-truck,emergency-car,no,1
tank-truck,garbage-truck,no,1
tank-truck,muck-truck,no,1
tank-truck,no-sp-truck,no,15
tank-truck,sweeper-truck,no,1
tank-truck,tank-truck,no,573
tank-truck,tank-truck,yes,437
tank-truck,transport_truck,no,17
tank-truck,watering-truck,no,16
taxi,bus,no,1
taxi,emergency-car,no,4
taxi,no-sp-car,no,35
taxi,no-sp-car,yes,3
taxi,taxi,no,194
taxi,taxi,yes,795
taxi,transport_truck,no,2
transport_truck,bus,no,1
transport_truck,emergency-car,no,7
transport_truck,engineering-truck,no,9
transport_truck,engineering-truck,yes,2
transport_truck,no-sp-car,no,5
transport_truck,no-sp-car,yes,1
transport_truck,no-sp-truck,no,23
transport_truck,transport_truck,no,302
transport_truck,transport_truck,yes,748
watering-truck,engineering-truck,no,1
watering-truck,garbage-truck,no,13
watering-truck,muck-truck,no,3
watering-truck,no-sp-truck,no,6
watering-truck,other,no,1
watering-truck,sweeper-truck,no,3
watering-truck,sweeper-truck,yes,5
watering-truck,tank-truck,no,1
watering-truck,watering-truck,no,19
watering-truck,watering-truck,yes,59
