,0,1,2
0,高速-普通点位,难例,128
1,高速-普通点位,非难例,371
2,高速-龙门架卡口,难例,188
3,高速-龙门架卡口,非难例,257
4,高速-收费站广场,难例,208
5,高速-收费站广场,非难例,506
6,高速-枪机（中间绿化）,难例,160
7,高速-枪机（中间绿化）,非难例,240
8,高速-枪机（边上）,难例,138
9,高速-枪机（边上）,非难例,272
10,高速-隧道枪机,难例,6
11,高速-隧道枪机,非难例,420
12,高速-球机,难例,99
13,高速-球机,非难例,301
14,高速-高点位,难例,53
15,高速-高点位,非难例,359
16,高速-桥上,难例,120
17,高速-桥上,非难例,291
18,城市-普通点位,难例,363
19,城市-普通点位,非难例,2116
20,城市-十字路口,难例,1979
21,城市-十字路口,非难例,4391
22,城市-T字路口,难例,117
23,城市-T字路口,非难例,642
24,城市-市内卡口,非难例,613
25,城市-市内高架,难例,105
26,城市-市内高架,非难例,235
27,城市-快速路,难例,383
28,城市-快速路,非难例,650
