,0,1,2
0,高速-普通点位,17：00到19：00,54
1,高速-普通点位,19：00到5：00,85
2,高速-普通点位,5：00到7：00,214
3,高速-普通点位,7：00到9：00,46
4,高速-普通点位,9：00到17：00,100
5,高速-龙门架卡口,17：00到19：00,79
6,高速-龙门架卡口,19：00到5：00,110
7,高速-龙门架卡口,5：00到7：00,109
8,高速-龙门架卡口,7：00到9：00,36
9,高速-龙门架卡口,9：00到17：00,111
10,高速-收费站广场,17：00到19：00,301
11,高速-收费站广场,19：00到5：00,76
12,高速-收费站广场,5：00到7：00,127
13,高速-收费站广场,7：00到9：00,59
14,高速-收费站广场,9：00到17：00,151
15,高速-枪机（中间绿化）,17：00到19：00,39
16,高速-枪机（中间绿化）,19：00到5：00,100
17,高速-枪机（中间绿化）,5：00到7：00,100
18,高速-枪机（中间绿化）,7：00到9：00,61
19,高速-枪机（中间绿化）,9：00到17：00,100
20,高速-枪机（边上）,17：00到19：00,68
21,高速-枪机（边上）,19：00到5：00,101
22,高速-枪机（边上）,5：00到7：00,103
23,高速-枪机（边上）,7：00到9：00,33
24,高速-枪机（边上）,9：00到17：00,105
25,高速-隧道枪机,17：00到19：00,47
26,高速-隧道枪机,19：00到5：00,105
27,高速-隧道枪机,5：00到7：00,103
28,高速-隧道枪机,7：00到9：00,71
29,高速-隧道枪机,9：00到17：00,100
30,高速-球机,17：00到19：00,56
31,高速-球机,19：00到5：00,100
32,高速-球机,5：00到7：00,100
33,高速-球机,7：00到9：00,44
34,高速-球机,9：00到17：00,100
35,高速-高点位,17：00到19：00,48
36,高速-高点位,19：00到5：00,107
37,高速-高点位,5：00到7：00,99
38,高速-高点位,7：00到9：00,52
39,高速-高点位,9：00到17：00,106
40,高速-桥上,17：00到19：00,68
41,高速-桥上,19：00到5：00,97
42,高速-桥上,5：00到7：00,103
43,高速-桥上,7：00到9：00,33
44,高速-桥上,9：00到17：00,110
45,城市-普通点位,17：00到19：00,14
46,城市-普通点位,19：00到5：00,724
47,城市-普通点位,7：00到9：00,1282
48,城市-普通点位,9：00到17：00,459
49,城市-十字路口,17：00到19：00,2212
50,城市-十字路口,19：00到5：00,332
51,城市-十字路口,7：00到9：00,710
52,城市-十字路口,9：00到17：00,3116
53,城市-T字路口,17：00到19：00,194
54,城市-T字路口,19：00到5：00,112
55,城市-T字路口,7：00到9：00,323
56,城市-T字路口,9：00到17：00,130
57,城市-市内卡口,17：00到19：00,6
58,城市-市内卡口,7：00到9：00,259
59,城市-市内卡口,9：00到17：00,348
60,城市-市内高架,19：00到5：00,105
61,城市-市内高架,7：00到9：00,219
62,城市-市内高架,9：00到17：00,16
63,城市-快速路,17：00到19：00,348
64,城市-快速路,9：00到17：00,685
